idx,k,explanation,n_tokens
49,5,"Genealogical/heraldic newsletter format establishing etymology and history of ""Betley"" surname, with formal British register throughout.

The text is building an argument explaining the derivation of ""Betley"" from Old Norse/Brittonic meanings, mid-sentence about the Staffordshire village of Betley and its Saxon origins.

Final token ""village"" ends an incomplete sentence (""In fact the village""), expecting a clause describing location, existence, ruins, or historical/geographical facts about Betley to continue.
""the modern street map shows the village. The name derives from an early Celtic word mean 'sheltered valley', with Saxon suffix implying homestead. In fact the village"" — the next clause will likely give specific historical evidence, such as what the village appears on maps or its chapel parish.""",177
50,5,"Historical/encyclopedic register describing ancient Byzantine coastal city Lyrnessos (modern Ayvalık), citing archaeological and textual evidence from late antiquity.

Narrative momentum: the passage has built through Byzantine zenith, then documented historical figures visiting the port; a concluding detail about surviving ruins is now expected.

Final phrase ""the castle tower and part of"" is mid-sentence, requiring continuation naming a specific structural feature of ancient port city infrastructure, most likely ""the city walls,"" ""the Roman road,"" or ""ancient harbor/piers/aqueduct"" — typical urban features;
""Additional evidences are that it was port of shipbuilding with HS Greek trade. Today ruins of the acropolis, and part of"" demands a noun phrase referencing ancient infrastructure like streets, walls, or city theater.",178
51,5,"Factual narrative connecting three people linked by Arsenal and the military — Peter Cushing, Luke Robinson, Danny Shapland — each briefly introduced.

Sensory/consequence detail expected: established military injury context strongly implies Danny Shapland's story connects to a fundraising effort or inspirational anecdote, explaining the human-interest angle.

Final phrase ""who also served in the Armed Forces and lost both his legs fighting in Afghanistan in"" is an incomplete temporal clause requiring a specific year or occasion date (e.g., ""2011"" or ""a training accident"").
""in a chance encounter…lost both his legs when he was serving as a Corporal with the Royal Engineers, losing both his legs in Afghanistan in"" demands date/impact completion.

The wounded soldier's story connects to Cushing later.",175
52,5,"Community event invitation format — announcement of a social gathering ""in the heart of San Francisco,"" named after literary theme.

Date/context already established (April 21st, Pulitzer mention, Ball Room), now shifting to refreshment/attendance logistics for the party.

Final token ""but"" introduces a contrast or qualification after stating ""food and libations that celebrate our local literary past will be supplied by the Library, but"" — likely followed by a BYO clause (""please bring your own""), a cost warning, or additional items attendees should bring/donate. ""But"" signals an important practical caveat.
""
Come to a party…!
""
""Refreshments… celebrating… past will be provided by the Library, but"" directly sets up what attendees *should* bring or note otherwise, probably ""open bar."" or similar.",182
53,5,"Newsletter/news report format from a local historical society, presenting monthly meeting topics and events for 2018, establishing a continuation pattern of structured entries with dates, titles, and descriptions.

The final entry describes an informal exhibition of local heritage archives, maintaining practical attendee-focused tone with friendly informal language (""jump,"" ""straight from the hop"").

The final token ""If you"" opens a conditional clause mid-sentence within Di's quote about talk attendees, likely followed by ""want to see,"" ""can't believe,"" or a friendly invitation/tip about attending or dress code for seniors.
""Presentation at local meeting about White Hill and BRC history, images shown on screen. Quote from Di Carr: NOTE: If you"" — the opening quote and NOTE signal an urgent listener-specific reminder about the presentation is being addressed to Historical Society members or visitors.",183
54,5,"Military memoir/report style with partisan irregular warfare account, suggesting continued battlefield or campaign narrative describing troop movements and positions.

Historical nineteenth-century Civil War or similar military correspondence genre, using period-appropriate spelling (""snabbed""), formal military acronyms (""Loudan""), and regiment names.

""Bright battle Zionsville.
The First Division was on the left, strongly entrenched"" — The line sets up a positional description; ""entrenched"" is likely part of a longer field configuration report, implying continuation with defensive fortifications' status, location details, or enemy positions/risk ahead. ""
The right Division, having made the most dense fog, hoped to advance. / The First Division was on the left, strongly entrenched""
Next tokens expected: specifics of fortifications or terrain, e.g., ""along the river.""",180
55,5,"Descriptive heritage/encyclopedic style cataloguing ancient Iranian archaeological sites, presenting each landmark with historical facts in list format.

The passage is mid-sentence describing surviving architectural remains of an ancient village building — the reader expects details about ruins, current condition, and notable features near Razak village.

Final token ""has"" is part of a present-perfect construction (""has been built more than four centuries old but of this house only an arched roof of a vault has""), requiring completion — likely ""survived/remained"" or similar verb phrase concluding the clause about what specifically remains.
""another building, which is part of the Razak village is in a dilapidated condition, [but] of this building only a part of an arched vault of a dome has"" — immediate constraint demands reinforcing remnant noun continuation.",181
56,5,"Rail/transport微博-style photo-cap blog format: short captions mixing train descriptions, operators, countries, and trivia about UK/Nordic railways.

Each entry introduces a new rail subject with geographic/operational detail — the chaotic pattern suggests loosely connected vignettes about locomotives, trains, or rail infrastructure from various regions.

""The Norwegian-built EL"" ends mid-entry, beginning a new named subject; ""EL"" is almost certainly the truncated start of a locomotive or rail equipment designation (e.g., ""Erie,"" ""Electric locomotive,"" or a Nordic operator code), likely naming a turbine-electric or colonial pioneer vessel/engine.
""LES ANS passersby.
The battle-hardened EL"" starts a new subject about a specific company/class — ""EL"" likely begins an acronym or proper railway name like ""EF Rail"" or ""InterCity.""",188
57,5,"Archive/catalog database format with repeated structured entries describing historical photographs, each following a consistent description pattern.

Narrative momentum from sequential photo descriptions: ""Three Individual Group 6 Team Mascots,"" ""Portrait of four members..."" establish a series of posed institutional photographs from McCarthy collections, with consistent details about clothing, setting, and positioning.

Final token ""to"" begins a directional orientation phrase mid-sentence describing subject posing stance: ""Three group standing side-by-side. They face to"" — expects a directional complement like ""the camera"" or ""right/left,"" consistent with the standardized posed descriptions used throughout; ""pose for a photograph. Four individuals stand side by side. They turn to"" continues describing their facing direction or alignment.
""turn to"" is mid-sentence, requiring immediate completion.",170
58,5,"Historical narrative tone established, correcting myths about Scottish Enlightenment and Glasgow's identity as Labour/socialist city, now pivoting to a guided tour offering.

The speaker is mid-presentation, transitioning from broader historical context to concrete local landmarks, promising specific examples of埋藏 Glasgow stories connected to working-class history.

Final phrase ""walk through a number of buildings and sites in the city centre"" is an incomplete route/list introduction — immediately expects a period or continuation specifying which areas (e.g., ""including St Andrew Square, George Square"") or expanding on how central these sites represent Glasgow's broader significance.
""city centre"" ends a spatial reference narrowing the scope; next tokens likely define geographic bounds, further describe areas visited, or introduce a route map, like ""and Merchant City.""
</br>""I'll take you this afternoon to"" completes a promise of an urban tour.",188
59,5,"Catalog/archive description genre: each entry follows caption format presenting WWII aerial footage locations and dates, as seen throughout.

Narrative momentum of combat sequence: ""Canadian naval gunners open fire on enemy plane close in and on it using coastal water. Is shot down, flying into tilt, tipping over, falling and crashing into balls of fire in"" — the sentence describes a plane's final descent into water/sea.

Final token ""in"" is a preposition mid-sentence, completing ""knocked into the water... falls against troops and sea, crashes burning in can left to right and crashes in flames in [the sea/water/near shore]"" — expects a location noun phrase like ""the sea"" or ""near the ship.""",165
60,5,"Parallel event descriptions: two museum programs described in structured pairs (summer tour, now winter holidays tours) follow identical promotional format for Donahay Museum in Felton, PA.

The text has established a consistent descriptive pattern ending with sensory/activity details (""view historic artifacts, tour period rooms and participate in lots of fun holiday tradition activities""), now completing the holiday tour sentence.

Final token ""and"" opens a compound phrase mid-construction (""a fun, holiday tours p... storytelling, period traditions and historic holiday decorations at the Felton museum presented as a one-hour, history and""), requiring a continuation like ""holiday"" or ""festive atmosphere""-themed noun completing a compound descriptor of the tour.
""Join history teachers for a...immersive holiday storytelling tour — a one-hour, history and [holiday/spirit/...]"".",178
61,5,"Conspiracy-political blog style with evidence-citation format, consistently building an anti-BLM, anti-White-Legions Republican commentary with screenshots and quotes.

The text is presenting an argument about the Proud Boys' name having Nazi/historical context, having just supplied the ""History in name"" source and provided a definition of the Thule Society — the argument now requires a rhetorical question about irony, coincidence, or significance of the shared symbol name.

Final token ""How"" opens a rhetorical question following ""Wow! The Proud Boys emblem is the trademark of this German Neo-Nazi Party. How"" — immediately constraining the next tokens to complete a question expressing surprise, likely ""how convenient"" or ""did this escape notice"" or connecting Soviet history.
""The 'dot' Yeah, same name they took from Soviets! How""",179
62,5,"Book announcement/biography format for event listing, establishing credentials of two Scottish figures with publication details.

The second paragraph introduces Cilla and John Parish with their shared credentials and appearance venue, following the same announcement structure with a concluding named publication.

""played Camera Man: Steve Brown's shaped life career memoir Camera Man – No Ordinary"" is mid-title or mid-phrase, requiring completion of the subtitle/phrase — likely a phrase continuing the working-class identity narrative such as ""Job"" or ""Ride."" — ""Steve Brown, former rugby cameraman, who will speak about his exciting new book, Camera Man The Cut – No Ordinary"" demands a concluding title word capturing his extraordinary camera work career, e.g., ""ordinary Ride"".
"" a Rollercoaster – No Ordinary",167
63,5,"Road trip blog pattern establishing location details about a cozy Oregon diner stop. Casual personal narrative tone throughout.

The text is mid-description of Mulligan, Oregon (""a small town in the north central part of the state, only a few""), setting up geographic context and scale, with distance/population/border proximity details expected next.

Final token ""few"" begins a measurement construction (""a small town in eastern Oregon, only a few""), requiring a noun phrase immediately following — almost certainly ""miles from [landmark/extended highway]"" or ""hours outside of,"" describing Mulligan's rural geographic positioning.
</br>""My boyfriend drives a lot and decided to take a trip. Mulligan is a small rural town in the western Oregon, only a few""",164
0,6,"Biographical/encyclopedic tone with anecdotal detail about Scottish artist Alf Tasnie, establishing character through place attachment and rural scene preferences.

Narrative momentum building toward a contrast or caveat about choosing to stay in Orkney despite commercial potential of travel — a ""but"" clause follows, explaining his rationale for staying.

""although the artist has admitted that he might have achieved greater commercial success by travelling more, he has said that it would"" is an incomplete subordinate clause requiring a consequence, e.g., ""have ruined his happiness"" or ""have gone against his nature"" — ""would"" signals an imminent past-tense hypothetical completing the self-imposed constraint or sacrifice.
""
Tasnie has suggested that he might have travelled more other people would had liked, but has said that it would""",175
1,6,"Narrative/historical storytelling tone established: personal Holocaust memory emerging through a single photograph, lending emotional gravity.

Biographical details about Sara Yussim are being enumerated — name, age, school photo context, year,地點 (Tel-Aviv) — with her school identity (""Jewish Jewish school"") set up to continue with more context about her daily life or fate.

Final phrase ""who was studying in Tel-Aviv, where she attended the Jewish Girls' High School, where she"" is a relative clause chain mid-construction, requiring immediate completion describing her school life, friends, or classmates.
""
""
Next tokens will extend her story within Tel-Aviv — likely a description of her social circle, activities, or community.
""Where she studied Israeli history, classes along side friends —"" continuation of school setting.",180
2,6,"Historical exhibit caption/description establishing factual, informative tone about Revolutionary War barracks construction at Valley Forge.

The sentence beginning ""Examples of these structures are shown below. Most, though of variable quality, were built according to Washington's specifications"" sets up a contrast, with ""Despite their simplicity, most"" continuing that thread — implying how the huts actually turned out versus expectations, covering quality, livability, or appearance of Continental Army barracks.

Final token ""most"" is a quantifier opening a clause about collective characteristics of the hut constructions: ""Despite their simplicity, most"" demands an immediate predicate describing what the huts achieved or looked like (e.g., ""houses completed"" or ""structures appeared well-maintained"").
""According to historical records, following Washington's standards, most"" — next word describes a singular noun about hut quality.
Done.",183
3,6,"Historical (medical institution visiting program) genre establishing educational narrative about Chapel's heritage and milestones, progressing chronologically toward famous firsts.

The evacuation of ether anecdote is mid-explanation, detailing Morzer's 1946 public demonstration of ether anesthesia at Massachusetts General Hospital, building to a climactic historical moment.

Final phrase ""prompting President James Garfield to exclaim 'It's a great success!' thus giving"" sets up an immediate continuation of this quote's historical significance — likely referencing the origin of the phrase ""Garfield's endorsement"" or a famous turning phrase, followed by its legacy. ""Thus he subsequently gave ether to a patient; the operation went well enough for the much quoted President to describe it as 'a remarkable performance,' thus giving"" completes a causative clause, probably naming a historical phrase or expression origin.",182
4,6,"Historical museum/documentary prose describing Holocaust artefacts, establishing factual, somber register. Academic tone signals precise documentation language.

Narrative momentum: introduced context of 1944 Auschwitz drawings, moved to fate of many artworks left behind, now building toward their discovery or liberation moment — the sentence structure demands completion of what happened at the camp.

Final token ""was"" is part of passive construction ""when the camp was"" requiring a past-tense verb phrase describing the Soviet Army's arrival or liberation (e.g., ""liberated by Soviet troops""), completing the temporal clause ""hundreds of tons of 'looted' possessions that were left in the warehouses when Auschwitz-Birkenau was"" — almost certainly followed by a reference to Soviet advance in January 1945.
Geographic/historical:**",177
5,6,"Historical chronicling style, cataloguing territorial claims, Native settlements, and river geography in early American frontier (mentions Cherokee, Cumberland, Ohio, Mississippi rivers).

Narrative momentum building toward explaining key Spanish/colonial penetration into western territories; each sentence introduces a figure/event (Dr. Hunter, 1796 map).

Final token ""Cumberland"" ends an incomplete enumeration (""Ohio, Green, and Cumberland""), requiring a noun completing the geographic span referenced, likely ""rivers"" or ""river""; also likely continuing with reference back to the region previously named earlier in the text (the Cumberland = Meriwether river).
""A projected Confederacy uniting the lands between the Ohio, Green and Cumberland"" — the structural gap demands a closing noun and clause about the significance or geography of America between these named waterways.",176
6,6,"Genealogical record format establishes expectations for family lineage data: birth dates, land records, immigration details for ""Colonial"" namesakes like Harbrough/Harbort.

The passage documents Isaac Harborth's colonial biography (arrived 1639, settled 1643, bought land, died 1673), now logically transitioning to enumerate descendants.

Final token ""Gabriel"" opens a list of Isaac's four sons mid-enumeration (""He had two sons, Gabriel""), immediately requiring Gabriel's details and likely more son/builder names continuing the pattern.
""Of the descendants were the sons, — Gabriel"" — dash and incomplete list demand continuation with another name (possibly comma or ""and Benjamin""), sons who became active local figures in the Harborth/Harbrough lineage.",178
7,6,"Memorial/obituary notice for a WWII/Battleship crew family member, following HHRC Veterans Hall of Honor format with detailed registry entries and biographical narrative.

The narrative is building toward completing the historical account of Robert Cox's Vietnam-era sacrifice aboard the USS Kittiwake during NATO manhunt operations, with specific named carriers already introduced.

Final token ""Spirit"" concludes a named NATO exercise mid-clause: ""the ships were participating in an exercise in the Mediterranean Sea off Crete...The aircraft carriers were participating in Operation Ocean Spirit"" — immediately requires a period or continuation specifying what ""Ocean Spirit"" was/involved (e.g., ""a large-scale NATO naval exercise"").",182
8,6,"Dictionary/lexicon entry format drives structured definition, cross-reference, and citation style. Biblical reference ""Nehemiah ch. 12"" anchors the authoritative register.

The passage defines ""Shemaiah"" alongside a named parallel figure, establishing a paired reference to a Levite priest.

""Nehemiah, a Levite, son"" is mid-sentence, beginning a parenthetical elaboration of Shemaiah's lineage or identity; the immediate constraint is continuing ""son of Jehoahadah"" details or adding a bibliographical note. re
</likely continuation>
""repented him. —"" introduces a separated annotation defining Nehemias; ""Shemaiah, a Levite, son"" is mid-definition, expecting a continuation like ""of double-priest, mentioned in Ezra x. 24"" filling detail or completing a genealogical descriptor.",192
9,6,"Wikipedia infobox/biography format for a mob figure, following standard encyclopedic article structure for organized crime members.

Biographical momentum: birth details and criminal affiliation established (""American mob hitman and member of the DeChavone family faction of the Gambino crime family. He was active in New York City street gang wars in the 1970s. He was""), signaling career achievements, crimes, or death circumstances next.

Final clause: ""He was"" opens a new sentence mid-thought, requiring immediate completion — most likely regarding murder conviction, death, or what happened to him; e.g., ""shot,"" ""convicted,"" or ""one of nine的亲 brother who committed.""
""Infamous member... He was active... protracted criminal history. He was"" expects fate/capture/knowledge description.",183
10,6,"Archival/historical document catalog format, listing CIA and State Department records about Vietnam (1967), now transitioning into document summaries.

Narrative momentum of identifying political actors, events, and factional dynamics: Sarit's fall and replacement is a historical progression requiring explanation of CIA's expectations.

Final token ""Ahmed"" ends mid-sentence introducing the new Lao Premier Kukrit Prapromsri and CIA's optimistic assessment: ""the CIA believed it would have a better relationship under new Prime Minister Marshal Kaosaladsak Phoumi Vilayaward Ahmed"" — immediately expects continuation about Phumiphone's policy orientation, potential benefits, or further CIA memorandum analysis, likely a period or clause about legitimacy concerns or contingency challenges.
""manager officials expected a more favorable working relationship under the government of General Saroni Chouly Ahmed""",183
11,6,"Historical/encyclopedic register about a specific Azerbaijani village, Nakhchivan region, expecting factual details about antiquity and origins.

Narrative momentum: having introduced the village's modern population and political isolation history, the text has shifted focus to archaeological findings, implying ancient human settlement details will follow.

Final token ""man"" is part of the phrase ""ruins of a Neolithic settlement and stone pottery in Korskun have indicated evidence of man"" — syntactically demanding a noun phrase completion like ""man's presence"" or ""inhabitation in the region since thousands of years ago.""
""archaeological findings in mines around Korskun have provided indication, including pottery and other ruins, have evidence of man"" — describing ancient settlement implications, likely continuing with early human/inhabitation history.",179
12,6,"Student essay format on UK political history, progressing chronologically through causes of Parliament development and reforms by 1832.

The essay is building toward explaining the economic/social pressures leading up to the Reform Act of 1832, listing hunger, riots, and economic hardship.

Final phrase ""a series of poor"" opens a noun phrase requiring completion — likely ""poor harvests"" or ""poor weather years,"" continuing the economic crisis description. Continuation of a causal narrative sentence: ""technologies such as the steam power attracted an enormous number of British workers to the cities resulting in over employment; average wages began to fall. A series of poor [harvests/fiscal losses]..."" — industrial/weather hardships explaining unrest in the 1830-32 period.

The social/economic context dominates.",180
13,6,"Repeated caption structure: the text has already restated artifact details multiple times, building toward a museum label catalog entry format.

Archaeological dating pattern established throughout: ""200 BC to 400 AD"" and ""early Christian eras, known to approximately a few hundred years"" demand a consistent date range.

Final token ""to"" is part of an incomplete date range inside a museum label (""Mesoamerican Figurine of Band-Eared Priest, Teotihuacan Canton, Mexico, 100 BC to""), requiring a closing date like ""400 AD"" mirroring the earlier ""first 4th century BC to 4th century AD"" range.
""
Date Contoured: Teotihuacan, Mexico - 100 BC to""
completes the date of creation field.",182
14,6,"Biography following a structured chronological career narrative for Andy Stamps, establishing factual momentum about his early life and musical development.

After listing early band activity ""The Quorum"" (formed 1979) and noting its short-lived released album, the narrative expects continuation of the band's activities: locations, venues, and influences on his later ministry career.

""The band toured"" is an incomplete sentence mid-clause requiring immediate continuation detailing where/what they toured (e.g., ""the Southeast"" or ""regionally across churches）。
</br>""The Quorum was a Christian pop rock band that released one album in 1981. The band toured"" — narrative momentum pointing toward regional touring, live performances, possible significant gig experiences or transitions.",165
15,6,"Encyclopedic/biographical ship history format, listing factual details (name, keel date, commissioning date) of a converted USS landing ship becoming a spy submarine.

Conversion purpose established (O鯰-class spy submarine); next expected content covers operational details, station, or mission history following the retrofit completion.

""Stationed at Rota, Spain"" is a prepositional phrase establishing location, expecting continuation with temporal information (""from [year]"") or additional geographic/peripheral service details; the sentence feels incomplete or will lead to next service posting.
""Completed in 1968 as a Perry class anti submarine warfare submarine. Assigned to Sixth Fleet. / Stationed at Rota, Spain"" — European deployment of a Sixth Fleet submarine suggests further service chronology, likely Portuguese or Mediterranean operations.",177
16,6,"Blog/article series format with recurring ""From our archives"" entries establishing ongoing historical Cornwall geology narrative momentum.

The text has shifted to Charles Darwin, introducing his connection to Devon, Cornwall, and Dolerite, mirroring Scoresby's earlier introduction.

""Although Darwin is perhaps best remembered for his voyage to the Galapagos and beak study, it has been suggested that the time Darwin"" — an incomplete contrast clause requiring a subordinate statement about Darwin's time spent in/near Cornwall or studying local geology.
""Mike Ptak recently gave… a paper which highlighted that, whilst Darwin is heard about almost every day as a great Victorian thinker, the time Darwin"" continues — next tokens likely ""spent in Penzance/Cornwall"" or ""spent reading Henslow's"" describing Darwin's own words or activities.",179
17,6,"Historical/biographical narrative about colorful cowboy gunfighter Horace Richardson, establishing episodic momentum toward elaborating his achievements and eventual end.

Continuation of structured storytelling pattern: introduction → exotic background → weapon detail → tournament success, now building toward a pivotal turn or complication after sustained dominance.

""Richardson enjoyed a string of tournament successes on the San Fernando River. He was tops and won everything he chased. That is"" — the trailing ""That is"" opens a clause clarifying or contrasting what follows, strongly implying a phrase like ""until..."" or ""as far as..."" introducing a shift or limitation.
""Meanwhile it provides Richardson unusual and lucrative employment. For some sixteen years he carried his gun to every top tournament and simply won the prizes. That is""",166
18,6,"News report style establishing facts about the 2011 Southeast Asian Games held in Indonesia, expecting continued factual details about host cities and events.

The sentence lists specific details (date ""10 to 22 August 2011"", city ""Jakarta""), building toward explaining Indonesia's hosting significance or historical role.

Final fragment ""This is the fourth time Indonesia"" is an incomplete clause mid-sentence requiring a verb phrase, most likely ""hosted"" or ""hosted the SEA Games,"" followed by a time clause like ""last"" referencing Indonesia's previous hosting history or capital city prestige. ""Held in Indonesia will be hosted by Indonesia sporting team. Various sporting events would be held in some city. This is the fourth time Indonesia"" expects continuation about Indonesia's prior hosting history as a Southeast Asia country.",177
19,6,"Travel guide/journey format cycling through world heritage sites, each entry describing history, features, and visit details in encyclopedic tone.

Sequential heritage site descriptions with consistent structure: historical facts, visitor notes, dimensions/dates. The Pont du Gard entry has established a factual, impressive-statistics pattern (""3 levels"" already given).

Final token ""high"" ends an exclamatory statistic mid-sentence listing Pont du Gard dimensions (""a Roman aqueduct over 1km long made from nearly 2,000 blocks of limestone with arches up to 48m high""), expecting a continuation such as a period, further measurement, or additional architectural/historical detail.
</br>""brick built on top of each other. The bridge is over 1km long, with the bottom arches are a remarkable 48m high""",185
20,6,"Document is an incoherent aggregation of unrelated bibliographic/textual fragments, signals history and technical reading guides; continuation follows same fragmented citation/reference pattern.

The text repeatedly inserts partial references followed by elided continuation phrases, suggesting this pattern continues (mixed book titles, website snippets, poetry collections).

Final token: ""full text of"" is an incomplete bibliographic citation phrase from a catalog/Google Books or Project Gutenberg entry (""world electric light and power records. volume 2 - volume 3 ; full text of""), immediately requiring a title, quoted string, or reference corpus name next — likely ""this book"" or similar Gutenberg boilerplate phrase (""full text of [title]"").
</br>""world-wide solar energy index. full text of"" or similar concatenated archival reference fragment continues the citation.",171
21,6,"Professional architecture/development testimony context, explaining two-phase construction decision influenced by client funding constraints.

The narrative is mid-sentence, continuing a detailed account of scope limitations — ""initial Phase 1"" with budget restrictions, building toward describing what specifically Phase 1 reduced to (repurposing existing structures to achieve the school opening).

Final token ""and"" is a coordinating conjunction mid-clause (""to reduce Phase 1 design scope to only the renovation of the old tobacco barn and""), requiring a parallel noun phrase continuation, likely another existing building or a specific new facility, e.g., ""adjacent classroom wing."" ""
""Ultimately, we agreed to limit our bid to Phase 1 only which was limited to the renovation of the old tobacco barn and [the existing grounds/new campus core]""
— describing partial campus components that together formed the school.",180
22,6,"Historical survey tone with factual declarative statements about Christian persecution/institutions, establishing a chronological narrative of the Inquisition's expansion.

List of sequential developments building toward further historical actors and actions — Spain, the Duke of Savoy, Torquemada suggest continued enumeration of papal/legal authority figures.

""In 1487, Pope"" is a historical sentence beginning requiring a specific papal name and action, almost certainly referencing Papal response or authorization regarding the Inquisition's powers or jurisdiction relations between Church and Spanish monarchy. ""In 1230 Frederick II established a new knights Templar who would brutally control disobedience by going in everyday of homes. Spain's Inquisition was set up to catch lepers, Jews, and Muslims. In 1487, Pope"" a papal.",175
23,6,"Veteran funeral/mission briefing format (Clearwater Honor Flight/Army Support organization), using structured military field report conventions throughout.

The document has listed a complete burial detail itinerary (location, chapel service, memorial service, family arrivals) for Mission #153, implying actionable volunteer coordination information is being concluded.

Final token ""a mission"" ends an incomplete sentence (""You may attend any part of a mission""), expecting a noun phrase completion — likely ""mission"" itself continuing into a metaphor, perhaps ""Vale Mission"" references correlating honorees to ""missions,"" or a range of tours/squadrons upcoming.
""Members may choose to attend all or"" — ""Members may attend part or all of a mission"" sets up a mission-based volunteer coordination call, with a specific mission briefing type phrase referencing ""Mission"" terminology continuing immediately.",182
24,6,"Historical-political essay establishing biographical context for Grant Wood/Franklinництва era gun policy commentary. Narrative follows chronological career arc of Morris.

The text is building toward a ""redemption arc"" after detailing Morris's electoral defeat and martyrdom, with ""Despite this personal and"" signaling transition to contrast or resilience.

Final token ""and"" is a coordinating conjunction mid-phrase (""personal and""), requiring a parallel noun or noun phrase to complete the compound — likely ""professional,"" ""political,"" or ""public setback/hammering/loss.""
""Despite this personal and"" strongly demands a compound noun completing a phrase describing Morris's devastating defeat, before pivoting to his subsequent return or broader significance.
""Facing the end of his political life and career, and despite his Missouri defeat in 1876, amidst this personal and [political disaster]""",185
25,6,"Journalistic/intellectual essay tone establishing a historical narrative about privileged insider decision-making versus excluded critics, setting up LBJ as a case study.

The quoted Trachtenberg phrase introduces the metaphorical ""room where decisions were made / dead-end circle,"" now being invoked to frame the essay's central argument or comparative point.

Final fragment ""Charles Wolf Jr. was one person who was in that"" completes a reference back to the opening Trachtenberg quote, immediately requiring a noun — almost certainly ""circle"" or an expanded phrase reinforcing the metaphor (e.g., ""Washington room,"" ""circle of power,"" ""world of blind arrogance""). ""Decisions made inside the circle""End of The Second World WarAndrew J. Johnston/Andrew Johnston....... ""That circle of ...close advisors"" has a kindred from recent times: Charles Wolf Jr. was one person who was in that",188
26,6,"Encyclopedic/historical description of an Irish heritage site, establishing factual register about Dunbeacon, Co. Donegal, including geology and mythology.

Narrative momentum building toward complete documentation of the peninsula's features, tracing from cliff notations to inland cairns and ruins.

Final fragment ""a ruined town church, St Bude Cathedral, on a rocky outcrop by the"" is mid-sentence requiring a geographic landmark or coastal feature (e.g., ""the road,"" ""Harris Bay,"" ""the sea coast"") completing the locational description; also contextualizes the coast cliff proximity and local Irish geography.
""The main site is at Town Hill, Cooldrogheda on the north side of the area; there are ancient remains including a ruined church...on a rocky outcrop by the"" suggests a river or sea road boundary follows.",188
27,6,"Historical document transcription/quotation in progress, following formal genealogical archive style, quoting 17th-century royal charter language about name change authorization.

The archaic royal grant formula (""Charitable and Gracious King of the said Kingdom, of his especial Grace, have granted and given unto him His Royal Licence and Authority"") strongly predicts continuation with the formal authorization clause, likely referencing the specific adoption or permission granted (e.g., ""and Licence to assume and bear the said name"").

Final token ""Authority"" is mid-sentence within a formal royal charter excerpt, beginning the pivotal grant clause; next tokens must complete the formulaic phrase, likely ""is hereby given"" or a licensing action completing ""Authority.""
""Wherefore the said King hath given and granted His Royal Licence and Authority"" expects its direct object or concluding clause.",180
28,6,"Historical narrative establishing Henry VIII's relationship between Protestantism and Jewish emancipation, expecting continuation of argument or transition out of summary overview.

Attribution/byline signals end of article excerpt — ""Submitted by Rabbi David Rabinowitz - October 26, 2013 - Jewish World"" sets up a publication name or publication affiliation to follow, likely completing the source citation.

""Jewish World"" is mid-completion of a publication name, immediately constraining next tokens to finish that title, e.g., ""Today"" or ""Post"" or similar Jewish publication name.
""
According to historians, Henry VIII's crackdown on the Roman Catholic Church
Posted online by Rabbi David Rabinowitz — October 26, 2013 -
Jewish World""

The label shows tag/source format.",179
29,6,"Historical naval caption style: identifying a vessel with name, prefix, year, and war theater (""APA-153"", ""WWII"", ""mid-Atlantic"").

The caption is building toward a notable achievement/memory specific to USS Ray's service history, having established crew photo context and the Caribbean Theater.

Final fragment ""which had sunk the German U-boat U-156 on"" completes a relative clause requiring a specific date/day/location (e.g., ""May 22"" or ""February 23, 1942""), as ""on"" demands a temporal or spatial complement next.
""USS Ray (APA-153) in 1942 off South Carolina Bay, the ship which had sunk the U-boat U-156 on"" demands an integer date.",180
30,6,"Encyclopedia/reference genre (encyclopedia TropeEdit format), presenting factual chronological and cultural information about ancient Indians (archaic period peoples).

The passage is building a geographic and technological survey of Eastern Woodlands peoples, shifting from culture description toward specific archaeological or historical details.

Final token ""New York"" begins a geographic specification (""Archaeological sites of the Early Woodland period in New York""), requiring immediate continuation with a specific region, state-wide context, or grammatical completion — most likely ""and Vermont"" or ""State"" or a specific river valley, or a sentence about the Iroquois homeland along the Hudson Mohawk corridor.
""Archaeological sites of successive cultures in New York"" demands a prepositional complement or clause; ""New York"" is mid-phrase, requiring geographic expansion referencing the region of ancestral Iroquoian countries, e.g.",189
31,6,"Ongoing narrative describing lunar eclipse news broadcasts and historical events on the same day, suggesting a list of simultaneous occurrences being compiled in a report or essay style.

Repetition/continuation pattern: the text recycles names (""Television was on ABC"" repeated), indicating possible crude or amateur phrasing continued throughout.

Final clause ""Television was showing an ABC movie and then it was"" demands a past-tense verb or passive construction completing the sequential action, most likely ""interrupted"" or echoing the repeated contrast structure (""it was interrupted before..."" already used).
""
People were shocked about... it was announced over the radio then. Television was showing an ABC movie and then it was"" — but the clause is open, requiring a verb phrase like ""cut off"" or ""changed,"" possibly continuing the restatement pattern about the movie's interruption/repetition.",185
